PTB / PRTB / PPL
PSDB / PSD
PRB / PMN / PSB
PARTIDO TRABALHISTA BRASILEIRO
PARTIDO SOCIAL DEMOCRÁTICO
PARTIDO SOCIALISTA BRASILEIRO

